2  mpge112_d00 1532687158.525510281250 mpge112_d01 1532687158.530497282750 0.004987001500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:0   0:0:31648682992316422:31648687469257086 <<0.000000>><<1532687760.268749>> 
3  mpge112_d00 1532687158.525558665500 mpge112_d01 1532687158.531675651750 0.006116986250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:1   471275873403507:471275873505477:31648687469543905:31648687472833446 <<1532687703.665944>><<1532687760.269905>> 
4  mpge112_d00 1532687158.525601863750 mpge112_d01 1532687158.532854840250 0.007252976500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:2   471275873516439:471275873538660:31648687472934394:31648687476575565 <<1532687703.665958>><<1532687760.271115>> 
5  mpge112_d00 1532687158.525644555750 mpge112_d01 1532687158.534033224000 0.008388668250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:3   471275873545284:471275873563869:31648687476672961:31648687480094299 <<1532687703.665968>><<1532687760.272253>> 
6  mpge112_d00 1532687158.525697410000 mpge112_d01 1532687158.535211593000 0.009514183000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:4   471275873570898:471275873588907:31648687480192383:31648687483794033 <<1532687703.665979>><<1532687760.273449>> 
7  mpge112_d00 1532687158.525741249250 mpge112_d01 1532687158.536390781500 0.010649532250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:5   471275873596143:471275873616321:31648687483892978:31648687487359426 <<1532687703.665990>><<1532687760.274602>> 
8  mpge112_d00 1532687158.525795266000 mpge112_d01 1532687158.537569165250 0.011773899250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:6   471275873624745:471275873642808:31648687487457386:31648687491095717 <<1532687703.666001>><<1532687760.275810>> 
9  mpge112_d00 1532687158.525836810500 mpge112_d01 1532687158.538748353750 0.012911543250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:7   471275873649549:471275873669709:31648687491194615:31648687494637351 <<1532687703.666013>><<1532687760.276955>> 
10  mpge112_d00 1532687158.525880649750 mpge112_d01 1532687158.539926722750 0.014046073000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:8   471275873678574:471275873706780:31648687494735096:31648687498320908 <<1532687703.666028>><<1532687760.278146>> 
11  mpge112_d00 1532687158.525934085250 mpge112_d01 1532687158.541105106500 0.015171021250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:9   471275873714952:471275873734005:31648687498420033:31648687501926436 <<1532687703.666039>><<1532687760.279312>> 
12  mpge112_d00 1532687158.525976196000 mpge112_d01 1532687158.542284295000 0.016308099000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:10   471275873741952:471275873759439:31648687502024670:31648687505578386 <<1532687703.666050>><<1532687760.280492>> 
13  mpge112_d00 1532687158.526019454000 mpge112_d01 1532687158.543462678750 0.017443224750  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:11   471275873763957:471275873781300:31648687505676725:31648687509170144 <<1532687703.666059>><<1532687760.281654>> 
14  mpge112_d00 1532687158.526072904500 mpge112_d01 1532687158.544641852500 0.018568948000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:12   471275873788185:471275873805285:31648687509269274:31648687512843581 <<1532687703.666069>><<1532687760.282841>> 
15  mpge112_d00 1532687158.526116162500 mpge112_d01 1532687158.545820236250 0.019704073750  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:13   471275873812296:471275873829414:31648687512942023:31648687516437177 <<1532687703.666079>><<1532687760.284003>> 
16  mpge112_d00 1532687158.526170179250 mpge112_d01 1532687158.546999424750 0.020829245500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:14   471275873834049:471275873851050:31648687516534737:31648687520147146 <<1532687703.666088>><<1532687760.285203>> 
17  mpge112_d00 1532687158.526212290000 mpge112_d01 1532687158.548177793500 0.021965503500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:15   471275873858061:471275873876871:31648687520245403:31648687523760010 <<1532687703.666099>><<1532687760.286371>> 
18  mpge112_d00 1532687158.526254981750 mpge112_d01 1532687158.549450591250 0.023195609500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:16   471275873883873:471275873905167:31648687523858529:31648687528067510 <<1532687703.666111>><<1532687760.287764>> 
19  mpge112_d00 1532687158.526308983500 mpge112_d01 1532687158.550628960250 0.024319976750  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:17   471275873911980:471275873930943:31648687528166090:31648687531710629 <<1532687703.666121>><<1532687760.288942>> 
20  mpge112_d00 1532687158.526350528000 mpge112_d01 1532687158.551807344000 0.025456816000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:18   471275873935353:471275873952714:31648687531809017:31648687535355126 <<1532687703.666131>><<1532687760.290120>> 
21  mpge112_d00 1532687158.526393205000 mpge112_d01 1532687158.552986517500 0.026593312500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:19   471275873959590:471275873977437:31648687535454548:31648687538979340 <<1532687703.666142>><<1532687760.291292>> 
22  mpge112_d00 1532687158.526447802750 mpge112_d01 1532687158.554164901500 0.027717098750  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:20   471275873987922:471275874006390:31648687539076722:31648687542598607 <<1532687703.666153>><<1532687760.292462>> 
23  mpge112_d00 1532687158.526491001250 mpge112_d01 1532687158.555344089750 0.028853088500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:21   471275874013581:471275874030996:31648687542696719:31648687546239984 <<1532687703.666163>><<1532687760.293640>> 
24  mpge112_d00 1532687158.526545077500 mpge112_d01 1532687158.556522473750 0.029977396250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:22   471275874036855:471275874055611:31648687546337380:31648687549873446 <<1532687703.666174>><<1532687760.294814>> 
25  mpge112_d00 1532687158.526586622000 mpge112_d01 1532687158.557701647250 0.031115025250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:23   471275874060984:471275874079308:31648687549971118:31648687553522312 <<1532687703.666184>><<1532687760.295994>> 
26  mpge112_d00 1532687158.526629820500 mpge112_d01 1532687158.558894440500 0.032264620000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:24   471275874086310:471275874108252:31648687553620085:31648687557277318 <<1532687703.666196>><<1532687760.297208>> 
27  mpge112_d00 1532687158.526686132000 mpge112_d01 1532687158.560073197000 0.033387065000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:25   471275874115191:471275874135099:31648687557375809:31648687560800265 <<1532687703.666207>><<1532687760.298347>> 
28  mpge112_d00 1532687158.526729405000 mpge112_d01 1532687158.561252415250 0.034523010250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:26   471275874141462:471275874160749:31648687560898162:31648687564551471 <<1532687703.666218>><<1532687760.299560>> 
29  mpge112_d00 1532687158.526772603500 mpge112_d01 1532687158.562430754250 0.035658150750  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:27   471275874166203:471275874185895:31648687564649190:31648687568053762 <<1532687703.666228>><<1532687760.300693>> 
30  mpge112_d00 1532687158.526822701000 mpge112_d01 1532687158.563609972500 0.036787271500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:43080 tg  32841:456850846:1:28   471275874192906:471275874210438:31648687568151942:31648687571721481 <<1532687703.666238>><<1532687760.301878>> 
