2  mpge112_d00 1532689518.300085291250 mpge112_d01 1532689518.305066749500 0.004981458250  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:0   0:0:31655980164254351:31655985854271994 <<0.000000>><<1532690120.068944>> 
3  mpge112_d00 1532689518.300127402000 mpge112_d01 1532689518.306245938000 0.006118536000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:1   471728616457626:471728616563835:31655985854552275:31655985857854767 <<1532690063.431736>><<1532690120.070103>> 
4  mpge112_d00 1532689518.300179749750 mpge112_d01 1532689518.307424321750 0.007244572000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:2   471728616575580:471728616600771:31655985857962296:31655985861387527 <<1532690063.431751>><<1532690120.071245>> 
5  mpge112_d00 1532689518.300222948250 mpge112_d01 1532689518.308603495250 0.008380547000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:3   471728616607161:471728616625881:31655985861492693:31655985865098165 <<1532690063.431761>><<1532690120.072445>> 
6  mpge112_d00 1532689518.300266206250 mpge112_d01 1532689518.309781879250 0.009515673000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:4   471728616633063:471728616650946:31655985865203338:31655985868671486 <<1532690063.431772>><<1532690120.073600>> 
7  mpge112_d00 1532689518.300319135250 mpge112_d01 1532689518.310960248000 0.010641112750  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:5   471728616658101:471728616676992:31655985868769956:31655985872377227 <<1532690063.431783>><<1532690120.074798>> 
8  mpge112_d00 1532689518.300363481000 mpge112_d01 1532689518.312139451500 0.011775970500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:6   471728616682698:471728616702102:31655985872474848:31655985876084096 <<1532690063.431793>><<1532690120.075997>> 
9  mpge112_d00 1532689518.300416410000 mpge112_d01 1532689518.313317820500 0.012901410500  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:7   471728616709806:471728616727932:31655985876180884:31655985879706080 <<1532690063.431804>><<1532690120.077168>> 
10  mpge112_d00 1532689518.300458461000 mpge112_d01 1532689518.314496994000 0.014038533000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:8   471728616735114:471728616753915:31655985879838264:31655985883343353 <<1532690063.431815>><<1532690120.078344>> 
11  mpge112_d00 1532689518.300502300250 mpge112_d01 1532689518.315776184250 0.015273884000  IPv4[20/1428/63DF]  UDP[1400] 192.168.186.111:1500  192.168.186.108:37669 tg  32856:456850846:1:9   471728616761169:471728616779205:31655985883441030:31655985886900010 <<1532690063.431825>><<1532690120.079494>> 
